0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121
0,4,29.0,1341,51.3,52,90.0,-95.0,-95.0,90.0,-50.0,50.0,-55.0,50.0,80.0,85.0,95.0,95.0,235.0,0,289.16,192,11,0,0,4,29.0,1341,51.4,52,95.0,-105.0,105.0,105.0,50.0,-55.0,-57.5,50.0,100.0,-110.0,-110.0,100.0,255.0,0,313.35,192,11,182,0,4,30.0,1341,50.5,52,90.0,-105.0,110.0,110.0,50.0,57.5,-62.5,57.5,90.0,105.0,-112.5,105.0,272.5,0,339.04,171,17,391,0,4,30.0,1341,51.5,52,100.0,112.5,117.5,117.5,55.0,60.0,-62.5,60.0,100.0,110.0,115.0,115.0,292.5,0,358.94,192,11,420,0,4,30.0,1343,52.06,56,110.0,-125.0,125.0,125.0,55.0,62.5,-67.5,62.5,110.0,-120.0,120.0,120.0,307.5,18,374.51,163,7,539,40,4
1,2,29.5,1343,84.1,90,0.0,0.0,0.0,180.0,0.0,0.0,0.0,145.0,0.0,0.0,0.0,210.0,535.0,29,358.53,172,4,0,1,4,14.5,1553,70.5,75,-150.0,160.0,170.0,170.0,70.0,80.0,90.0,90.0,140.0,150.0,160.0,160.0,420.0,0,313.94,192,11,9529,1,4,14.5,1553,70.9,75,-160.0,-170.0,-170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103,0.0,192,11,9711,1,4,15.5,1553,74.5,75,175.0,185.0,195.0,195.0,82.5,92.5,-100.0,92.5,155.0,165.0,172.5,172.5,460.0,0,331.43,192,11,9900,1,4,15.5,1560,73.9,75,-190.0,190.0,205.0,205.0,85.0,95.0,105.0,105.0,170.0,180.0,190.0,190.0,500.0,0,362.14,192,11,10082,196,4
1,1,15.5,1553,63.04,67.5,-90.0,95.0,-102.5,95.0,40.0,50.0,-57.5,50.0,110.0,112.5,0.0,112.5,257.5,0,208.92,171,17,0,1,4,15.5,1560,66.0,67.5,97.5,-107.5,107.5,107.5,50.0,-57.5,-57.5,50.0,110.0,120.0,125.0,125.0,282.5,0,221.35,171,17,112,1,4,17.5,1560,73.3,75,-160.0,160.0,170.0,170.0,85.0,-90.0,-90.0,85.0,160.0,170.0,180.0,180.0,435.0,18,316.75,192,11,671,1,4,17.5,1561,74.5,75,180.0,190.0,200.0,200.0,95.0,100.0,-105.0,100.0,190.0,-202.5,-202.5,190.0,490.0,0,353.05,192,11,853,1,4,18.5,1561,74.4,75,190.0,200.0,-210.0,200.0,100.0,-110.0,-110.0,100.0,200.0,205.0,-210.0,205.0,505.0,0,364.17,192,11,1091,133,4
1,4,20.0,1561,73.0,75,140.0,160.0,-165.0,160.0,95.0,100.0,-105.0,100.0,175.0,190.0,200.0,200.0,460.0,0,335.86,192,11,203,1,4,20.0,560,79.8,82.5,170.0,180.0,190.0,190.0,100.0,110.0,112.5,112.5,200.0,-210.0,-210.0,200.0,502.5,18,347.01,192,11,385,1,4,21.0,560,79.7,82.5,175.0,185.0,192.5,192.5,100.0,110.0,-115.0,110.0,200.0,210.0,225.0,225.0,527.5,18,364.54,192,11,567,1,4,23.0,560,88.8,90,200.0,215.0,231.0,231.0,120.0,130.0,135.0,135.0,230.0,250.0,-260.0,250.0,616.0,18,401.03,192,11,1491,1,4,25.0,1341,88.7,90,230.0,250.0,270.0,270.0,125.0,132.5,137.5,137.5,230.0,250.0,-260.0,250.0,657.5,0,428.3,192,11,2044,702,1
1,4,49.5,1341,100.0,100,200.0,210.0,215.0,215.0,120.0,-125.0,0.0,120.0,240.0,250.0,-262.5,250.0,585.0,18,360.08,192,11,1302,1,4,50.5,1341,100.0,100,210.0,-220.0,222.5,222.5,110.0,-115.0,0.0,110.0,250.0,-260.0,-260.0,250.0,582.5,18,358.54,192,11,1491,1,4,50.5,1341,100.0,100,205.0,215.0,0.0,215.0,110.0,115.0,-120.0,115.0,250.0,260.0,-267.5,260.0,590.0,29,363.15,192,11,1659,1,4,51.5,1341,100.0,100,220.0,235.0,242.5,242.5,120.0,125.0,0.0,125.0,267.5,275.0,0.0,275.0,642.5,0,395.47,192,11,1862,1,4,51.5,1341,106.0,110,220.0,230.0,240.0,240.0,120.0,125.0,0.0,125.0,275.0,-282.5,282.5,282.5,647.5,0,389.03,192,11,2044,189,4
1,4,18.5,1561,116.5,125,220.0,230.0,240.0,240.0,150.0,-160.0,160.0,160.0,240.0,260.0,270.0,270.0,670.0,0,388.67,192,11,378,1,4,18.5,1561,118.5,125,260.0,270.0,-280.0,270.0,155.0,-165.0,165.0,165.0,260.0,280.0,0.0,280.0,715.0,0,412.37,192,11,546,1,4,,611,84.8,90,160.0,175.0,180.0,180.0,-125.0,130.0,-135.0,130.0,200.0,225.0,242.5,242.5,552.5,29,368.58,163,7,566,1,1,21.0,1523,82.8,83,0.0,0.0,0.0,150.0,0.0,0.0,0.0,127.5,0.0,0.0,0.0,225.0,502.5,73,339.69,172,4,606,1,4,19.5,560,120.0,125,260.0,280.0,290.0,290.0,170.0,175.0,-180.0,175.0,260.0,280.0,-290.0,280.0,745.0,0,427.86,192,11,749,182,4
0,4,36.5,1341,54.9,56,60.0,70.0,-80.0,70.0,40.0,-42.5,-42.5,40.0,70.0,80.0,-85.0,80.0,190.0,0,223.16,192,11,154,0,1,36.5,478,52.0,52,72.5,77.5,80.0,80.0,42.5,-45.0,45.0,45.0,85.0,-92.5,-92.5,85.0,210.0,0,255.97,188,11,299,0,4,36.5,1341,56.0,56,72.5,77.5,82.5,82.5,42.5,45.0,-47.5,45.0,82.5,87.5,92.5,92.5,220.0,0,255.01,192,11,357,0,4,37.5,1341,54.8,56,75.0,-80.0,80.0,80.0,45.0,47.5,50.0,50.0,80.0,90.0,-95.0,90.0,220.0,18,258.72,192,11,539,0,4,37.5,1341,55.2,56,72.5,-80.0,80.0,80.0,45.0,-50.0,-50.0,45.0,85.0,-95.0,95.0,95.0,220.0,0,257.46,192,11,721,1015,4
1,4,23.0,560,60.0,60,105.0,115.0,-120.0,115.0,75.0,-85.0,-85.0,75.0,165.0,-175.0,-175.0,165.0,355.0,0,299.64,192,11,60,1,4,24.0,1341,66.5,67.5,125.0,132.5,137.5,137.5,90.0,97.5,102.5,102.5,190.0,200.0,205.0,205.0,445.0,0,346.73,192,11,424,1,1,25.0,1341,67.5,67.5,140.0,147.5,150.0,150.0,100.0,110.0,-115.0,110.0,210.0,220.0,-230.0,220.0,480.0,0,369.96,159,8,822,1,4,25.0,1341,67.3,67.5,142.5,150.0,155.0,155.0,102.5,112.5,0.0,112.5,212.5,-222.5,222.5,222.5,490.0,18,378.48,192,11,963,1,1,27.0,1341,67.0,67.5,152.5,162.5,170.0,170.0,102.5,110.0,115.0,115.0,212.5,220.0,230.0,230.0,515.0,0,399.08,139,17,1572,364,1
1,2,53.5,1254,60.5,67.5,0.0,0.0,0.0,170.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,200.0,450.0,0,377.25,172,4,5306,1,2,54.5,1254,59.0,60,0.0,0.0,0.0,190.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,200.0,470.0,0,402.26,172,4,5651,1,2,56.5,1254,64.4,66,0.0,0.0,0.0,195.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,200.0,490.0,0,391.07,172,4,6340,1,1,57.5,1129,66.8,67.5,-160.0,-160.0,-165.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103,0.0,188,11,6873,1,4,57.5,839,66.1,67.5,130.0,-150.0,165.0,165.0,87.5,95.0,0.0,95.0,187.5,0.0,0.0,187.5,447.5,0,350.24,192,11,6931,182,4
1,4,16.0,1560,73.2,75,175.0,190.0,200.0,200.0,115.0,125.0,130.0,130.0,165.0,180.0,-190.0,180.0,510.0,0,371.69,192,11,385,1,4,17.0,1560,74.2,75,195.0,207.5,215.0,215.0,132.5,140.0,145.0,145.0,175.0,187.5,190.0,190.0,550.0,0,397.31,192,11,567,1,4,19.0,1592,73.7,75,230.0,-240.0,-240.0,230.0,150.0,157.5,165.0,165.0,190.0,202.5,-212.5,202.5,597.5,0,433.53,163,7,1295,1,4,19.0,1592,74.15,75,225.0,237.5,-252.5,237.5,155.0,162.5,-172.5,162.5,190.0,200.0,207.5,207.5,607.5,0,439.04,163,7,1462,1,4,20.0,611,75.5,82.5,232.5,245.0,252.5,252.5,160.0,-167.5,172.5,172.5,192.5,205.0,-210.0,205.0,630.0,0,450.07,163,7,1679,1870,4
