0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217
1.0,4.0,46.5,676.0,99.2,1.0,190.0,202.5,-210.0,202.5,120.0,125.0,130.0,130.0,225.0,235.0,245.0,245.0,577.5,0.0,356.71,174.0,10.0,203.0,1.0,4.0,47.5,676.0,100.0,1.0,210.0,220.0,-230.0,220.0,125.0,130.0,-135.0,130.0,240.0,250.0,255.0,255.0,605.0,0.0,372.39,174.0,10.0,385.0,1.0,4.0,48.5,676.0,98.9,1.0,210.0,225.5,-230.0,225.5,125.0,130.0,132.5,132.5,240.0,255.0,-265.0,255.0,613.0,0.0,379.14,174.0,10.0,945.0,1.0,4.0,49.5,1088.0,100.0,1.0,-220.0,220.0,-227.5,220.0,127.5,132.5,-135.0,132.5,250.0,256.0,-260.0,256.0,608.5,24.0,374.54,174.0,10.0,1113.0,1.0,4.0,49.5,1088.0,100.0,1.0,200.0,210.0,215.0,215.0,120.0,-125.0,0.0,120.0,240.0,250.0,-262.5,250.0,585.0,13.0,360.08,174.0,10.0,1302.0,1.0,4.0,50.5,1088.0,100.0,1.0,210.0,-220.0,222.5,222.5,110.0,-115.0,0.0,110.0,250.0,-260.0,-260.0,250.0,582.5,13.0,358.54,174.0,10.0,1491.0,1.0,4.0,50.5,1088.0,100.0,1.0,205.0,215.0,0.0,215.0,110.0,115.0,-120.0,115.0,250.0,260.0,-267.5,260.0,590.0,24.0,363.15,174.0,10.0,1659.0,1.0,4.0,51.5,1088.0,100.0,1.0,220.0,235.0,242.5,242.5,120.0,125.0,0.0,125.0,267.5,275.0,0.0,275.0,642.5,0.0,395.47,174.0,10.0,1862.0,1.0,4.0,51.5,1088.0,106.0,14.0,220.0,230.0,240.0,240.0,120.0,125.0,0.0,125.0,275.0,-282.5,282.5,282.5,647.5,0.0,389.03,174.0,10.0,2044.0,189.0,4.0
1.0,2.0,44.5,1090.0,55.65,73.0,165.0,172.5,180.0,180.0,95.0,100.0,-102.5,100.0,212.5,-222.5,-232.5,212.5,492.5,13.0,443.26,155.0,4.0,1958.0,1.0,2.0,45.5,1090.0,58.95,83.0,195.0,205.0,210.0,210.0,107.5,-112.5,112.5,112.5,235.0,-245.0,245.0,245.0,567.5,0.0,486.05,155.0,4.0,2323.0,1.0,2.0,47.5,1012.0,60.0,83.0,120.0,0.0,0.0,120.0,90.0,0.0,0.0,90.0,200.0,0.0,0.0,200.0,410.0,0.0,346.06,155.0,4.0,3093.0,1.0,2.0,47.5,1012.0,60.0,83.0,195.0,210.0,217.5,217.5,-105.0,105.0,-110.0,105.0,225.0,-240.0,240.0,240.0,562.5,0.0,474.77,41.0,4.0,3183.0,1.0,2.0,48.5,1090.0,59.5,83.0,215.0,-225.0,-225.0,215.0,-115.0,115.0,-117.5,115.0,-242.5,-242.5,242.5,242.5,572.5,35.0,486.56,155.0,4.0,3421.0,1.0,2.0,53.5,1014.0,60.5,98.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,200.0,450.0,0.0,377.25,155.0,4.0,5306.0,1.0,2.0,54.5,1014.0,59.0,83.0,0.0,0.0,0.0,190.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,200.0,470.0,0.0,402.26,155.0,4.0,5651.0,1.0,2.0,56.5,1014.0,64.4,95.0,0.0,0.0,0.0,195.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,200.0,490.0,0.0,391.07,155.0,4.0,6340.0,1.0,4.0,57.5,680.0,66.1,98.0,130.0,-150.0,165.0,165.0,87.5,95.0,0.0,95.0,187.5,0.0,0.0,187.5,447.5,0.0,350.24,174.0,10.0,6931.0,182.0,4.0
1.0,2.0,18.0,1090.0,75.0,111.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,215.0,535.0,46.0,383.82,155.0,4.0,0.0,1.0,1.0,23.0,815.0,80.3,126.0,220.0,227.5,232.5,232.5,155.0,165.0,-170.0,165.0,240.0,247.5,252.5,252.5,650.0,0.0,447.22,171.0,10.0,1903.0,1.0,4.0,24.0,1088.0,81.2,126.0,220.0,230.0,237.5,237.5,155.0,165.0,172.5,172.5,240.0,250.0,257.5,257.5,667.5,0.0,456.29,174.0,10.0,1969.0,1.0,4.0,24.0,1088.0,82.1,126.0,230.0,240.0,-245.0,240.0,162.5,172.5,177.5,177.5,255.0,265.0,0.0,265.0,682.5,0.0,463.6,174.0,10.0,2123.0,1.0,1.0,24.0,55.0,81.15,126.0,230.0,240.0,-245.0,240.0,162.5,172.5,-175.0,172.5,255.0,265.0,-270.0,265.0,677.5,0.0,463.29,171.0,10.0,2155.0,1.0,1.0,24.0,948.0,82.4,126.0,230.0,240.0,-245.0,240.0,160.0,172.5,-180.0,172.5,250.0,260.0,265.0,265.0,677.5,0.0,459.25,171.0,10.0,2268.0,1.0,4.0,25.0,1088.0,82.1,126.0,240.0,250.0,0.0,250.0,165.0,175.0,180.0,180.0,260.0,-270.0,-270.0,260.0,690.0,0.0,468.69,174.0,10.0,2508.0,1.0,4.0,28.0,55.0,90.0,146.0,-240.0,240.0,250.0,250.0,175.0,185.0,192.5,192.5,300.0,-310.0,315.0,315.0,757.5,0.0,489.8,171.0,10.0,3622.0,1.0,1.0,28.0,948.0,89.5,146.0,240.0,250.0,260.0,260.0,170.0,180.0,-190.0,180.0,-300.0,300.0,-310.0,300.0,740.0,0.0,479.83,171.0,10.0,3730.0,52.0,4.0
1.0,4.0,18.0,1245.0,81.6,126.0,170.0,180.0,190.0,190.0,115.0,120.0,125.0,125.0,180.0,203.0,210.0,210.0,525.0,0.0,357.86,61.0,16.0,0.0,1.0,4.0,19.0,1255.0,81.5,126.0,180.0,195.0,-205.0,195.0,120.0,-135.0,135.0,135.0,200.0,215.0,-230.0,215.0,545.0,13.0,371.76,174.0,10.0,133.0,1.0,4.0,19.0,1255.0,82.0,126.0,200.0,210.0,-215.0,210.0,125.0,135.0,137.5,137.5,215.0,-225.0,225.0,225.0,572.5,0.0,389.15,174.0,10.0,336.0,1.0,4.0,20.0,444.0,88.7,146.0,200.0,210.0,220.0,220.0,140.0,150.0,155.0,155.0,215.0,225.0,235.0,235.0,610.0,0.0,397.36,174.0,10.0,518.0,1.0,4.0,20.0,444.0,90.0,146.0,210.0,220.0,230.0,230.0,145.0,160.0,165.0,165.0,230.0,240.0,250.0,250.0,645.0,0.0,417.06,174.0,10.0,700.0,1.0,4.0,24.0,55.0,96.0,1.0,210.0,225.0,235.0,235.0,165.0,175.0,180.0,180.0,240.0,260.0,275.0,275.0,690.0,0.0,432.51,93.0,3.0,2164.0,1.0,1.0,25.0,1090.0,97.8,1.0,230.0,240.0,250.0,250.0,175.0,180.0,185.0,185.0,250.0,270.0,-290.0,270.0,705.0,13.0,438.21,76.0,5.0,2232.0,1.0,4.0,25.0,55.0,99.6,1.0,240.0,250.0,260.0,260.0,180.0,190.0,192.5,192.5,260.0,-277.5,-277.5,260.0,712.5,0.0,439.32,93.0,3.0,2338.0,1.0,4.0,25.0,55.0,98.9,1.0,230.0,240.0,250.0,250.0,170.0,180.0,190.0,190.0,230.0,250.0,272.5,272.5,712.5,13.0,440.68,93.0,3.0,2406.0,149.0,4.0
1.0,4.0,52.5,678.0,108.2,14.0,200.0,220.0,-225.0,220.0,125.0,132.5,137.5,137.5,202.5,220.0,230.0,230.0,587.5,0.0,350.15,174.0,10.0,0.0,1.0,1.0,52.5,906.0,110.0,14.0,-190.0,190.0,-210.0,190.0,125.0,137.5,-145.0,137.5,190.0,220.0,232.5,232.5,560.0,0.0,331.67,171.0,10.0,145.0,1.0,4.0,52.5,678.0,108.6,14.0,190.0,210.0,-220.0,210.0,130.0,140.0,145.0,145.0,200.0,230.0,-240.0,230.0,585.0,0.0,348.17,174.0,10.0,203.0,1.0,4.0,53.5,678.0,110.0,14.0,190.0,210.0,220.0,220.0,135.0,-145.0,-145.0,135.0,-180.0,200.0,240.0,240.0,595.0,0.0,352.4,174.0,10.0,385.0,1.0,4.0,53.5,678.0,110.0,14.0,190.0,210.0,-220.0,210.0,130.0,-140.0,-140.0,130.0,200.0,220.0,0.0,220.0,560.0,0.0,331.67,174.0,10.0,567.0,1.0,4.0,54.5,680.0,110.8,29.0,180.0,200.0,-210.0,200.0,125.0,-132.5,132.5,132.5,200.0,0.0,0.0,200.0,532.5,0.0,314.53,174.0,10.0,945.0,1.0,4.0,55.5,680.0,113.8,29.0,-190.0,202.5,0.0,202.5,125.0,-135.0,135.0,135.0,202.5,210.0,217.5,217.5,555.0,0.0,324.63,174.0,10.0,1113.0,1.0,4.0,55.5,680.0,114.4,29.0,190.0,-210.0,0.0,190.0,-120.0,120.0,130.0,130.0,200.0,220.0,-247.5,220.0,540.0,0.0,315.27,174.0,10.0,1302.0,1.0,4.0,56.5,680.0,116.8,29.0,180.0,-190.0,0.0,180.0,125.0,-135.0,0.0,125.0,-200.0,200.0,-247.5,200.0,505.0,0.0,292.7,174.0,10.0,1491.0,168.0,4.0
1.0,2.0,32.5,1090.0,106.2,14.0,0.0,0.0,0.0,290.0,0.0,0.0,0.0,162.5,0.0,0.0,0.0,270.0,722.5,35.0,433.76,155.0,4.0,2274.0,1.0,2.0,33.5,1090.0,109.8,14.0,325.0,335.0,340.0,340.0,150.0,157.5,162.5,162.5,277.5,290.0,-300.0,290.0,792.5,24.0,469.69,155.0,4.0,2847.0,1.0,2.0,34.5,1090.0,109.8,14.0,-320.0,320.0,330.0,330.0,180.0,-185.0,-185.0,180.0,275.0,-285.0,0.0,275.0,785.0,3.0,465.25,155.0,4.0,2922.0,1.0,2.0,34.5,1090.0,108.4,14.0,300.0,-315.0,315.0,315.0,-170.0,170.0,-180.0,170.0,250.0,265.0,0.0,265.0,750.0,13.0,446.68,155.0,4.0,3024.0,1.0,2.0,34.5,1090.0,109.75,14.0,310.0,-320.0,325.0,325.0,-180.0,-180.0,180.0,180.0,260.0,275.0,280.0,280.0,785.0,46.0,465.33,155.0,4.0,3212.0,1.0,2.0,35.5,1090.0,110.0,14.0,320.0,330.0,340.0,340.0,180.0,-185.0,-185.0,180.0,270.0,-282.5,0.0,270.0,790.0,82.0,467.89,155.0,4.0,3287.0,1.0,2.0,35.5,1090.0,109.8,14.0,320.0,-330.0,0.0,320.0,-180.0,180.0,-190.0,180.0,230.0,250.0,0.0,250.0,750.0,76.0,444.51,155.0,4.0,3506.0,1.0,4.0,42.5,1088.0,120.9,29.0,260.0,270.0,275.0,275.0,160.0,170.0,-177.5,170.0,240.0,270.0,285.0,285.0,730.0,0.0,418.21,174.0,10.0,6062.0,1.0,4.0,43.5,674.0,120.5,29.0,250.0,270.0,-280.0,270.0,160.0,167.5,-172.5,167.5,270.0,0.0,0.0,270.0,707.5,0.0,405.76,174.0,10.0,6244.0,182.0,4.0
1.0,0.0,25.0,1088.0,74.5,111.0,260.0,280.0,-300.0,280.0,185.0,-190.0,0.0,185.0,230.0,252.5,0.0,252.5,717.5,0.0,516.96,174.0,10.0,1437.0,1.0,0.0,26.0,1088.0,78.2,126.0,240.0,262.5,-285.0,262.5,190.0,202.5,210.0,210.0,235.0,245.0,250.0,250.0,722.5,0.0,505.02,174.0,10.0,1807.0,1.0,0.0,26.0,1088.0,80.0,126.0,230.0,245.0,0.0,245.0,190.0,200.0,210.0,210.0,220.0,245.0,0.0,245.0,700.0,0.0,482.68,61.0,16.0,1871.0,1.0,0.0,26.0,1088.0,81.2,126.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,190.0,0.0,0.0,0.0,245.0,685.0,0.0,468.25,156.0,16.0,2135.0,1.0,0.0,27.0,1088.0,79.7,126.0,250.0,265.0,280.0,280.0,180.0,190.0,200.0,200.0,235.0,250.0,0.0,250.0,730.0,0.0,504.49,174.0,10.0,2165.0,1.0,4.0,27.0,55.0,79.1,126.0,200.0,-215.0,220.0,220.0,135.0,140.0,-145.0,140.0,210.0,225.0,235.0,235.0,595.0,0.0,413.05,168.0,16.0,2233.0,1.0,0.0,27.0,936.0,78.8,126.0,260.0,-280.0,280.0,280.0,180.0,197.5,-205.0,197.5,235.0,250.0,265.0,265.0,742.5,13.0,516.61,171.0,10.0,2310.0,1.0,0.0,28.0,55.0,80.9,126.0,250.0,270.0,290.0,290.0,180.0,190.0,0.0,190.0,240.0,250.0,0.0,250.0,730.0,0.0,500.08,170.0,16.0,2541.0,1.0,0.0,28.0,1088.0,80.9,126.0,270.0,292.5,-302.5,292.5,185.0,195.0,-205.0,195.0,225.0,240.0,260.0,260.0,747.5,0.0,512.07,174.0,10.0,2550.0,1621.0,1.0
1.0,0.0,27.0,1088.0,88.6,146.0,290.0,305.0,315.0,315.0,165.0,175.0,-185.5,175.0,240.0,257.5,262.5,262.5,752.5,0.0,490.47,174.0,10.0,3517.0,1.0,0.0,28.0,1088.0,89.9,146.0,320.0,335.0,341.0,341.0,200.5,-207.5,0.0,200.5,-260.0,260.0,270.0,270.0,811.5,0.0,525.01,174.0,10.0,3671.0,1.0,0.0,28.0,55.0,89.6,146.0,280.0,300.0,310.0,310.0,180.0,190.0,200.0,200.0,-260.0,-260.0,260.0,260.0,770.0,0.0,499.0,171.0,10.0,3703.0,1.0,0.0,28.0,936.0,89.4,146.0,320.0,335.0,345.0,345.0,195.0,200.0,-202.5,200.0,260.0,275.0,-285.0,275.0,820.0,0.0,532.01,171.0,10.0,3816.0,1.0,0.0,29.0,1088.0,89.3,146.0,335.0,-350.0,351.0,351.0,195.0,201.0,-205.0,201.0,280.0,300.0,-307.5,300.0,852.0,0.0,553.09,174.0,10.0,4056.0,1.0,0.0,29.0,1088.0,88.9,146.0,335.0,-352.5,352.5,352.5,-210.0,-210.0,210.0,210.0,280.0,300.0,-312.5,300.0,862.5,0.0,561.19,174.0,10.0,4238.0,1.0,1.0,30.0,1090.0,92.1,150.0,0.0,0.0,0.0,255.0,0.0,0.0,0.0,140.0,0.0,0.0,0.0,270.0,665.0,13.0,425.1,155.0,4.0,4582.0,1.0,2.0,30.0,1090.0,91.5,150.0,0.0,0.0,0.0,290.0,0.0,0.0,0.0,172.5,0.0,0.0,0.0,287.5,750.0,46.0,480.98,155.0,4.0,4655.0,1.0,1.0,31.0,1090.0,92.65,150.0,0.0,0.0,0.0,235.0,0.0,0.0,0.0,130.0,0.0,0.0,0.0,282.5,647.5,13.0,412.72,155.0,4.0,4775.0,247.0,1.0
0.0,4.0,39.0,1088.0,52.4,73.0,65.0,72.5,-77.5,72.5,37.5,42.5,-47.5,42.5,75.0,85.0,95.0,95.0,210.0,0.0,254.61,174.0,10.0,11.0,0.0,4.0,41.0,674.0,52.2,73.0,72.5,77.5,82.5,82.5,47.5,-52.5,-52.5,47.5,105.0,115.0,120.0,120.0,250.0,0.0,303.91,174.0,10.0,647.0,0.0,1.0,41.0,1090.0,51.65,66.0,80.0,85.0,-87.5,85.0,-50.0,50.0,-52.5,50.0,105.0,117.5,-122.5,117.5,252.5,13.0,309.22,171.0,10.0,751.0,0.0,4.0,42.0,1088.0,50.0,66.0,77.5,82.5,85.0,85.0,47.5,50.0,-52.5,50.0,115.0,120.0,125.0,125.0,260.0,0.0,325.78,156.0,16.0,892.0,0.0,1.0,42.0,55.0,52.0,66.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,125.0,270.0,0.0,329.1,73.0,16.0,988.0,0.0,4.0,42.0,1088.0,50.6,66.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,52.5,0.0,0.0,0.0,120.0,262.5,0.0,326.14,156.0,16.0,1129.0,0.0,4.0,43.0,674.0,50.9,66.0,100.0,110.0,-115.0,110.0,52.5,55.0,0.0,55.0,120.0,127.5,130.0,130.0,295.0,0.0,365.0,61.0,16.0,1516.0,0.0,4.0,44.0,674.0,51.5,66.0,95.0,100.0,-102.5,100.0,57.5,60.0,-62.5,60.0,125.0,130.0,-132.5,130.0,290.0,0.0,355.87,174.0,10.0,1649.0,0.0,1.0,44.0,1088.0,51.8,68.0,-90.0,-90.0,90.0,90.0,60.0,62.5,-65.0,62.5,120.0,127.5,130.0,130.0,282.5,0.0,345.26,143.0,7.0,1893.0,714.0,1.0
1.0,1.0,33.0,1090.0,81.1,126.0,215.0,225.0,230.0,230.0,160.0,167.5,170.0,170.0,-275.0,285.0,-295.0,285.0,685.0,13.0,468.59,171.0,10.0,6816.0,1.0,4.0,39.5,1088.0,82.5,126.0,215.0,-222.5,-225.0,215.0,145.0,152.5,160.0,160.0,240.0,257.5,267.5,267.5,642.5,0.0,435.22,156.0,16.0,6957.0,1.0,1.0,-1.0,55.0,82.5,126.0,0.0,0.0,0.0,227.5,0.0,0.0,0.0,157.5,0.0,0.0,0.0,260.0,645.0,13.0,436.92,73.0,16.0,7053.0,1.0,1.0,39.5,1088.0,89.9,146.0,225.0,237.5,242.5,242.5,150.0,162.5,165.0,165.0,250.0,270.0,280.5,280.5,688.0,0.0,445.11,143.0,7.0,7189.0,1.0,4.0,40.5,1088.0,89.5,146.0,220.0,232.5,241.0,241.0,150.0,162.5,170.0,170.0,250.0,-262.5,262.5,262.5,673.5,0.0,436.71,174.0,10.0,7356.0,1.0,1.0,41.0,40.0,89.02,146.0,215.0,232.5,245.0,245.0,150.0,165.0,172.5,172.5,240.0,265.0,277.5,277.5,695.0,0.0,451.89,93.0,3.0,7541.0,1.0,4.0,41.0,535.0,89.9,146.0,225.0,235.0,242.5,242.5,155.0,162.5,170.5,170.5,230.0,250.0,272.5,272.5,685.0,0.0,443.17,171.0,10.0,7542.0,1.0,1.0,41.5,895.0,82.3,126.0,216.0,225.0,230.0,230.0,150.0,157.5,162.5,162.5,250.0,265.0,-275.0,265.0,657.5,0.0,446.0,171.0,10.0,7859.0,1.0,1.0,44.0,607.0,89.5,146.0,0.0,0.0,0.0,237.5,0.0,0.0,0.0,165.0,0.0,0.0,0.0,275.0,677.5,0.0,439.31,161.0,7.0,8672.0,1849.0,1.0
